tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-2014,2014,Argentina,7,6,1,0,8,4,4,4,0.8571428571428571,1.1428571428571428,0.5714285714285714,T-03,ARG,South America,CONMEBOL,0,2.0,final,5,5,Final,0,1,1,1,10,2.3,0.7,1.6,2.3,0.7,15,70,40,6
WC-2018,2018,Argentina,4,1,2,1,6,9,-3,1,0.25,1.5,2.25,T-03,ARG,South America,CONMEBOL,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,9,1.6666666666666667,0.4444444444444444,0.2222222222222222,1.5555555555555556,1.3333333333333333,16,77,46,6
WC-2022,2022,Argentina,7,6,1,0,15,8,7,4,0.8571428571428571,2.142857142857143,1.1428571428571428,T-03,ARG,South America,CONMEBOL,0,1.0,final,5,6,Champion,1,1,1,1,9,2.7777777777777777,0.8888888888888888,2.6666666666666665,2.888888888888889,0.2222222222222222,17,81,47,6
WC-1974,1974,Australia,3,0,2,1,0,5,-5,0,0.0,0.0,1.6666666666666667,T-04,AUS,Oceania,AFC,0,,group stage,1,1,Group stage,0,0,0,0,7,1.5714285714285714,0.42857142857142855,0.2857142857142857,1.2857142857142858,1.0,0,0,0,6
WC-2006,2006,Australia,4,1,2,1,5,6,-1,1,0.25,1.25,1.5,T-04,AUS,Oceania,AFC,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,13,1.9230769230769231,0.6153846153846154,1.0769230769230769,2.230769230769231,1.1538461538461537,1,3,0,1
WC-2010,2010,Australia,3,1,1,1,3,6,-3,0,0.3333333333333333,1.0,2.0,T-04,AUS,Oceania,AFC,0,,group stage,1,1,Group stage,0,0,0,0,11,2.090909090909091,0.6363636363636364,0.45454545454545453,1.4545454545454546,1.0,2,7,1,2
WC-2014,2014,Australia,3,0,3,0,3,9,-6,0,0.0,1.0,3.0,T-04,AUS,Oceania,AFC,0,,group stage,1,1,Group stage,0,0,0,0,11,1.0,0.2727272727272727,-1.0,1.2727272727272727,2.272727272727273,3,10,2,2
WC-2018,2018,Australia,3,0,2,1,2,5,-3,0,0.0,0.6666666666666666,1.6666666666666667,T-04,AUS,Oceania,AFC,0,,group stage,1,1,Group stage,0,0,0,0,13,1.5384615384615385,0.38461538461538464,0.23076923076923078,1.4615384615384615,1.2307692307692308,4,13,2,2
WC-2022,2022,Australia,4,2,2,0,4,6,-2,1,0.5,1.0,1.5,T-04,AUS,Oceania,AFC,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,9,1.8888888888888888,0.5555555555555556,0.6666666666666666,1.4444444444444444,0.7777777777777778,5,16,2,2
WC-1934,1934,Austria,4,2,2,0,7,7,0,4,0.5,1.75,1.75,T-05,AUT,Europe,UEFA,0,4.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,9,2.3333333333333335,0.6666666666666666,1.6666666666666667,3.3333333333333335,1.6666666666666667,0,0,0,2
