year,tournament_id,team_name,confederation_code,is_host,matches,wins,losses,draws,goals_for,goals_against,goal_difference,win_rate,goals_for_per_match,goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,performance,stage_reached,stage_score,champion,finalist,semifinalist,reached_knockout
2018,WC-2018,France,UEFA,0,7,6,0,1,14,6,8,0.8571428571428571,2.0,0.8571428571428571,14,59,30,11,2.1818181818181817,0.6363636363636364,1.1818181818181819,final,Champion,6,1,1,1,1
2018,WC-2018,Germany,UEFA,0,3,1,2,0,2,4,-2,0.3333333333333333,0.6666666666666666,1.3333333333333333,8,44,31,15,2.066666666666667,0.6,1.2666666666666666,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Iceland,UEFA,0,3,0,2,1,2,5,-3,0.0,0.6666666666666666,1.6666666666666667,0,0,0,12,1.4166666666666667,0.4166666666666667,0.6666666666666666,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Iran,AFC,0,3,1,1,1,2,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,12,1,12,2.0,0.5833333333333334,0.75,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Japan,AFC,0,4,1,2,1,6,7,-1,0.25,1.5,1.75,5,17,4,14,1.2142857142857142,0.35714285714285715,-0.35714285714285715,round of 16,Round of 16 / second group,2,0,0,0,1
2018,WC-2018,Mexico,CONCACAF,0,4,2,2,0,3,6,-3,0.5,0.75,1.5,15,53,14,23,1.7826086956521738,0.5217391304347826,0.34782608695652173,round of 16,Round of 16 / second group,2,0,0,0,1
2018,WC-2018,Morocco,CAF,0,3,0,2,1,2,4,-2,0.0,0.6666666666666666,1.3333333333333333,4,13,2,10,2.6,0.8,1.9,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Nigeria,CAF,0,3,1,2,0,3,4,-1,0.3333333333333333,1.0,1.3333333333333333,5,18,5,10,1.4,0.4,0.1,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Panama,CONCACAF,0,3,0,3,0,2,11,-9,0.0,0.6666666666666666,3.6666666666666665,0,0,0,16,1.3125,0.375,-0.0625,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Peru,CONMEBOL,0,3,1,2,0,2,2,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,4,15,4,11,2.272727272727273,0.6363636363636364,1.1818181818181819,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Poland,UEFA,0,3,1,2,0,2,5,-3,0.3333333333333333,0.6666666666666666,1.6666666666666667,7,31,15,10,1.7,0.5,0.9,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Portugal,UEFA,0,4,1,1,2,6,6,0,0.25,1.5,1.5,6,26,14,16,2.1875,0.625,1.1875,round of 16,Round of 16 / second group,2,0,0,0,1
2018,WC-2018,Russia,UEFA,1,5,3,2,0,11,7,4,0.6,2.2,1.4,3,9,2,11,0.8181818181818182,0.18181818181818182,-0.45454545454545453,quarter-finals,Quarter-finals,3,0,0,0,1
2018,WC-2018,Saudi Arabia,AFC,0,3,1,2,0,2,7,-5,0.3333333333333333,0.6666666666666666,2.3333333333333335,4,13,2,18,1.1111111111111112,0.3333333333333333,-0.5555555555555556,group stage,Group stage,1,0,0,0,0
2018,WC-2018,Senegal,CAF,0,3,1,1,1,4,4,0,0.3333333333333333,1.3333333333333333,1.3333333333333333,1,5,2,10,1.7,0.4,0.6,group stage,Group stage,1,0,0,0,0
