key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,year
15,WC-1930,1930 FIFA Men's World Cup,M-1930-15,Argentina vs Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1930
16,WC-1930,1930 FIFA Men's World Cup,M-1930-16,Argentina vs United States,semi-finals,not applicable,0,1,0,0,1930-07-26,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-83,United States,USA,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1930
17,WC-1930,1930 FIFA Men's World Cup,M-1930-17,Uruguay vs Yugoslavia,semi-finals,not applicable,0,1,0,0,1930-07-27,14:45,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-87,Yugoslavia,YUG,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1930
18,WC-1930,1930 FIFA Men's World Cup,M-1930-18,Uruguay vs Argentina,final,not applicable,0,1,0,0,1930-07-30,14:15,S-238,Estadio Centenario,Montevideo,Uruguay,T-84,Uruguay,URY,T-03,Argentina,ARG,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1930
19,WC-1934,1934 FIFA Men's World Cup,M-1934-01,Austria vs France,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-114,Stadio Benito Mussolini,Turin,Italy,T-05,Austria,AUT,T-30,France,FRA,3–2,3,2,1,-1,1,0,0-0,0,0,home team win,1,0,0,1934
20,WC-1934,1934 FIFA Men's World Cup,M-1934-02,Czechoslovakia vs Romania,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-113,Stadio Littorio,Trieste,Italy,T-21,Czechoslovakia,CSK,T-61,Romania,ROU,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
21,WC-1934,1934 FIFA Men's World Cup,M-1934-03,Germany vs Belgium,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-105,Stadio Giovanni Berta,Florence,Italy,T-31,Germany,DEU,T-06,Belgium,BEL,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0,1934
22,WC-1934,1934 FIFA Men's World Cup,M-1934-04,Hungary vs Egypt,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-108,Stadio Giorgio Ascarelli,Naples,Italy,T-36,Hungary,HUN,T-26,Egypt,EGY,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934
23,WC-1934,1934 FIFA Men's World Cup,M-1934-05,Italy vs United States,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-111,Stadio Nazionale PNF,Rome,Italy,T-41,Italy,ITA,T-83,United States,USA,7–1,7,1,6,-6,0,0,0-0,0,0,home team win,1,0,0,1934
24,WC-1934,1934 FIFA Men's World Cup,M-1934-06,Spain vs Brazil,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-106,Stadio Luigi Ferraris,Genoa,Italy,T-73,Spain,ESP,T-09,Brazil,BRA,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934
25,WC-1934,1934 FIFA Men's World Cup,M-1934-07,Sweden vs Argentina,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-102,Stadio Renato Dall'Ara,Bologna,Italy,T-74,Sweden,SWE,T-03,Argentina,ARG,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
26,WC-1934,1934 FIFA Men's World Cup,M-1934-08,Switzerland vs Netherlands,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-107,San Siro,Milan,Italy,T-75,Switzerland,CHE,T-48,Netherlands,NLD,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
27,WC-1934,1934 FIFA Men's World Cup,M-1934-09,Austria vs Hungary,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-102,Stadio Renato Dall'Ara,Bologna,Italy,T-05,Austria,AUT,T-36,Hungary,HUN,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
28,WC-1934,1934 FIFA Men's World Cup,M-1934-10,Czechoslovakia vs Switzerland,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-114,Stadio Benito Mussolini,Turin,Italy,T-21,Czechoslovakia,CSK,T-75,Switzerland,CHE,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
29,WC-1934,1934 FIFA Men's World Cup,M-1934-11,Germany vs Sweden,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-107,San Siro,Milan,Italy,T-31,Germany,DEU,T-74,Sweden,SWE,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
30,WC-1934,1934 FIFA Men's World Cup,M-1934-12,Italy vs Spain,quarter-finals,not applicable,0,1,1,0,1934-05-31,16:30,S-105,Stadio Giovanni Berta,Florence,Italy,T-41,Italy,ITA,T-73,Spain,ESP,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1934
31,WC-1934,1934 FIFA Men's World Cup,M-1934-13,Italy vs Spain,quarter-finals,not applicable,0,1,0,1,1934-06-01,16:30,S-105,Stadio Giovanni Berta,Florence,Italy,T-41,Italy,ITA,T-73,Spain,ESP,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
32,WC-1934,1934 FIFA Men's World Cup,M-1934-14,Czechoslovakia vs Germany,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-111,Stadio Nazionale PNF,Rome,Italy,T-21,Czechoslovakia,CSK,T-31,Germany,DEU,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1934
33,WC-1934,1934 FIFA Men's World Cup,M-1934-15,Italy vs Austria,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-107,San Siro,Milan,Italy,T-41,Italy,ITA,T-05,Austria,AUT,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
34,WC-1934,1934 FIFA Men's World Cup,M-1934-16,Germany vs Austria,third-place match,not applicable,0,1,0,0,1934-06-07,18:00,S-108,Stadio Giorgio Ascarelli,Naples,Italy,T-31,Germany,DEU,T-05,Austria,AUT,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,1934
35,WC-1934,1934 FIFA Men's World Cup,M-1934-17,Italy vs Czechoslovakia,final,not applicable,0,1,0,0,1934-06-10,17:00,S-111,Stadio Nazionale PNF,Rome,Italy,T-41,Italy,ITA,T-21,Czechoslovakia,CSK,2–1,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0,1934
36,WC-1938,1938 FIFA Men's World Cup,M-1938-01,Switzerland vs Germany,round of 16,not applicable,0,1,1,0,1938-06-04,17:00,S-068,Parc des Princes,Paris,France,T-75,Switzerland,CHE,T-31,Germany,DEU,1–1,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1938
37,WC-1938,1938 FIFA Men's World Cup,M-1938-02,Cuba vs Romania,round of 16,not applicable,0,1,1,0,1938-06-05,17:00,S-077,Stade du T.O.E.C.,Toulouse,France,T-19,Cuba,CUB,T-61,Romania,ROU,3–3,3,3,0,0,1,0,0-0,0,0,draw,0,0,1,1938
38,WC-1938,1938 FIFA Men's World Cup,M-1938-03,France vs Belgium,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-069,Stade Olympique de Colombes,Paris,France,T-30,France,FRA,T-06,Belgium,BEL,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1938
39,WC-1938,1938 FIFA Men's World Cup,M-1938-04,Hungary vs Dutch East Indies,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-071,Vélodrome Municipal,Reims,France,T-36,Hungary,HUN,T-23,Indonesia,IDN,6–0,6,0,6,-6,0,0,0-0,0,0,home team win,1,0,0,1938
40,WC-1938,1938 FIFA Men's World Cup,M-1938-05,Italy vs Norway,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-064,Stade Vélodrome,Marseille,France,T-41,Italy,ITA,T-53,Norway,NOR,2–1,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0,1938
41,WC-1938,1938 FIFA Men's World Cup,M-1938-06,Brazil vs Poland,round of 16,not applicable,0,1,0,0,1938-06-05,17:30,S-075,Stade de la Meinau,Strasbourg,France,T-09,Brazil,BRA,T-57,Poland,POL,6–5,6,5,1,-1,1,0,0-0,0,0,home team win,1,0,0,1938
42,WC-1938,1938 FIFA Men's World Cup,M-1938-07,Czechoslovakia vs Netherlands,round of 16,not applicable,0,1,0,0,1938-06-05,18:30,S-058,Stade Jules Deschaseaux,Le Havre,France,T-21,Czechoslovakia,CSK,T-48,Netherlands,NLD,3–0,3,0,3,-3,1,0,0-0,0,0,home team win,1,0,0,1938
