tournament_id,year,team_name,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match
WC-1958,1958,Argentina,10,1.8,0.6,0.9,1.6,0.7
WC-1958,1958,Austria,6,2.0,0.5,1.0,2.5,1.5
WC-1958,1958,Brazil,10,2.0,0.6,1.4,2.1,0.7
WC-1958,1958,Czechoslovakia,5,2.6,0.8,1.4,2.8,1.4
WC-1958,1958,England,7,1.8571428571428572,0.5714285714285714,1.0,2.4285714285714284,1.4285714285714286
WC-1958,1958,France,7,1.0,0.14285714285714285,-0.2857142857142857,1.2857142857142858,1.5714285714285714
WC-1958,1958,Hungary,10,1.7,0.5,1.0,1.8,0.8
WC-1958,1958,Mexico,4,2.5,0.75,1.75,2.0,0.25
WC-1958,1958,Northern Ireland,5,1.8,0.4,0.4,1.8,1.4
WC-1958,1958,Paraguay,12,1.4166666666666667,0.4166666666666667,0.08333333333333333,1.5833333333333333,1.5
WC-1958,1958,Scotland,6,1.5,0.3333333333333333,-0.3333333333333333,1.3333333333333333,1.6666666666666667
WC-1958,1958,Soviet Union,0,,,,,
WC-1958,1958,Sweden,8,2.125,0.625,1.5,2.5,1.0
WC-1958,1958,Wales,6,1.8333333333333333,0.5,0.5,1.6666666666666667,1.1666666666666667
WC-1958,1958,West Germany,0,,,,,
WC-1958,1958,Yugoslavia,6,1.8333333333333333,0.5,1.3333333333333333,2.5,1.1666666666666667
WC-1962,1962,Argentina,9,1.3333333333333333,0.3333333333333333,0.1111111111111111,1.5555555555555556,1.4444444444444444
WC-1962,1962,Brazil,7,3.0,1.0,2.4285714285714284,3.142857142857143,0.7142857142857143
WC-1962,1962,Bulgaria,6,2.0,0.6666666666666666,0.0,1.1666666666666667,1.1666666666666667
WC-1962,1962,Chile,4,1.0,0.25,0.5,1.75,1.25
WC-1962,1962,Colombia,3,0.3333333333333333,0.0,-0.6666666666666666,0.6666666666666666,1.3333333333333333
WC-1962,1962,Czechoslovakia,7,1.8571428571428572,0.5714285714285714,1.2857142857142858,3.2857142857142856,2.0
WC-1962,1962,England,8,2.125,0.625,1.375,2.25,0.875
