stage_score,stage_reached,team_tournaments,avg_goal_difference,avg_goals_for_per_match,avg_goals_against_per_match,avg_prior_world_cups,avg_pre_wc_points_per_match
1,Group stage,222,-2.900900900900901,0.8948948948948955,1.9301801801801801,3.184684684684685,1.6920305788029297
2,Round of 16 / second group,111,-0.25225225225225223,1.2824324324324323,1.5612612612612613,5.441441441441442,1.7742021930357859
3,Quarter-finals,68,2.2941176470588234,1.651960784313726,1.185294117647059,5.705882352941177,1.8600511309121037
4,Semi-finals/top four,44,3.7045454545454546,1.9346320346320345,1.3556818181818182,4.886363636363637,1.8882227726660148
5,Final,22,6.318181818181818,2.1558441558441563,1.0877705627705627,6.136363636363637,2.0709541920068237
6,Champion,22,9.727272727272727,2.3877705627705628,0.7821428571428573,7.545454545454546,2.064464365408302
