confederation_code,team_tournaments,avg_stage_score,knockout_rate,semifinal_rate,avg_goal_difference
CONMEBOL,89,2.6292134831460676,0.6629213483146067,0.25842696629213485,1.651685393258427
UEFA,259,2.444015444015444,0.637065637065637,0.23938223938223938,1.111969111969112
CONCACAF,46,1.565217391304348,0.41304347826086957,0.021739130434782608,-3.5217391304347827
CAF,49,1.346938775510204,0.24489795918367346,0.02040816326530612,-1.9591836734693877
AFC,44,1.3409090909090908,0.2727272727272727,0.022727272727272728,-3.7954545454545454
OFC,2,1.0,0.0,0.0,-5.0
